model; shuffled; kernel; alpha; gamma; r2; rmse
RF; False; sigmoid; 0.1; None; -12.859979529289758; 3.710156607634737
RF; True; sigmoid; 0.1; 0.01; -18.470846487158504; 4.086502276136933
RF; False; sigmoid; 0.1; 0.01; -0.3236479433988595; 1.146561070526539
RF; True; sigmoid; 0.1; 0.1; -0.5855616992292225; 1.166140562815326
RF; False; sigmoid; 0.1; 0.1; -2.450088070204137; 1.851083621175173
RF; True; sigmoid; 0.1; 1; -283.0839184068952; 15.609272183621801
RF; False; sigmoid; 0.1; 1; -3934.2323604896856; 62.516713314389946
RF; True; sigmoid; 0.1; 10; -1098.5314773978894; 30.708822363355328
RF; False; sigmoid; 0.1; 10; -14980.329558994526; 121.97929704735672
RF; True; sigmoid; 1; None; -11.407807469033964; 3.2621719701250584
RF; False; sigmoid; 1; None; -0.20127381596381433; 1.092274897386229
RF; True; sigmoid; 1; 0.01; -0.29466920847976596; 1.0537527921194014
RF; False; sigmoid; 1; 0.01; -0.06638250539540547; 1.0291233999393605
RF; True; sigmoid; 1; 0.1; -0.7343709155030131; 1.219636238307868
RF; False; sigmoid; 1; 0.1; 0.4936415873733949; 0.7091530290179189
RF; True; sigmoid; 1; 1; -659.450380416742; 23.80013530949866
RF; False; sigmoid; 1; 1; -1071.7767724027347; 32.6411633009391
RF; True; sigmoid; 1; 10; -814.97085556203; 26.454323030419886
RF; False; sigmoid; 1; 10; -402.8394971265417; 20.026974442523734
RF; True; sigmoid; 10; None; -4.807234496356157; 2.2317421220394213
RF; False; sigmoid; 10; None; -0.6483543709662645; 1.2794880657257353
RF; True; sigmoid; 10; 0.01; 0.4784502660702651; 0.668816829698562
RF; False; sigmoid; 10; 0.01; 0.4038598207154893; 0.7694583985828496
RF; True; sigmoid; 10; 0.1; -15.18224743773277; 3.725450073366961
RF; False; sigmoid; 10; 0.1; -387.12235850623796; 19.633389309666626
RF; True; sigmoid; 10; 1; -303.95811230114566; 16.17258432031101
RF; False; sigmoid; 10; 1; -267.54887907645286; 16.331370043661774
RF; True; sigmoid; 10; 10; -1154.5968152791586; 31.48201321966065
RF; False; sigmoid; 10; 10; -1441.9695310923462; 37.85641882681449
RF; True; sigmoid; 100; None; -1.1923489857508982; 1.3712422079141746
RF; False; sigmoid; 100; None; -0.549417632398115; 1.2404955033555267
RF; True; sigmoid; 100; 0.01; 0.20830169992813508; 0.8240227176444797
RF; False; sigmoid; 100; 0.01; 0.16147705978219407; 0.9125746943100146
RF; True; sigmoid; 100; 0.1; -3.079530169992287; 1.8705288178578048
RF; False; sigmoid; 100; 0.1; -6.845190034014573; 2.7913396290225414
RF; True; sigmoid; 100; 1; -17.432246281380607; 3.9760190917208544
RF; False; sigmoid; 100; 1; -1.9719715912088298; 1.7180400128005466
RF; True; sigmoid; 100; 10; -27.050918884171956; 4.904930690863364
RF; False; sigmoid; 100; 10; -6.369086194015756; 2.7053145329905393
