model; shuffled; c; degree; gamma; epsilon; r2; rmse
linear; False; 0.1; 2; auto; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; auto; 0.1; 0.08626483269892393; 0.9526231197231669
rbf; False; 0.1; 2; auto; 0.1; 0.521962105149596; 0.689036312460544
linear; True; 0.1; 2; auto; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; auto; 0.2; 0.33661778914626284; 0.754295018357355
rbf; True; 0.1; 2; auto; 0.2; 0.5912103171756942; 0.5921194021828065
linear; False; 0.1; 2; auto; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; auto; 0.2; 0.0990108949191385; 0.9459555227951404
rbf; False; 0.1; 2; auto; 0.2; 0.5244883082623548; 0.6872132860710277
linear; True; 0.1; 2; auto; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; auto; 0.2; 0.33661778914626284; 0.754295018357355
rbf; True; 0.1; 2; auto; 0.2; 0.5912103171756942; 0.5921194021828065
linear; False; 0.1; 2; auto; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; auto; 0.2; 0.0990108949191385; 0.9459555227951404
rbf; False; 0.1; 2; auto; 0.2; 0.5244883082623548; 0.6872132860710277
linear; True; 0.1; 2; auto; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; auto; 0.2; 0.33661778914626284; 0.754295018357355
rbf; True; 0.1; 2; auto; 0.2; 0.5912103171756942; 0.5921194021828065
linear; False; 0.1; 2; auto; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; auto; 0.2; 0.0990108949191385; 0.9459555227951404
rbf; False; 0.1; 2; auto; 0.2; 0.5244883082623548; 0.6872132860710277
linear; True; 0.1; 2; auto; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; auto; 0.2; 0.33661778914626284; 0.754295018357355
rbf; True; 0.1; 2; auto; 0.2; 0.5912103171756942; 0.5921194021828065
linear; False; 0.1; 2; auto; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; auto; 0.2; 0.0990108949191385; 0.9459555227951404
rbf; False; 0.1; 2; auto; 0.2; 0.5244883082623548; 0.6872132860710277
linear; True; 0.1; 2; auto; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; auto; 0.3; 0.35035969716621895; 0.74644155487975
rbf; True; 0.1; 2; auto; 0.3; 0.588206159114665; 0.594291135235776
linear; False; 0.1; 2; auto; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; auto; 0.3; 0.12178161799189813; 0.9339254469641975
rbf; False; 0.1; 2; auto; 0.3; 0.521315238572267; 0.6895023465196894
linear; True; 0.1; 2; auto; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; auto; 0.3; 0.35035969716621895; 0.74644155487975
rbf; True; 0.1; 2; auto; 0.3; 0.588206159114665; 0.594291135235776
linear; False; 0.1; 2; auto; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; auto; 0.3; 0.12178161799189813; 0.9339254469641975
rbf; False; 0.1; 2; auto; 0.3; 0.521315238572267; 0.6895023465196894
linear; True; 0.1; 2; auto; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; auto; 0.3; 0.35035969716621895; 0.74644155487975
rbf; True; 0.1; 2; auto; 0.3; 0.588206159114665; 0.594291135235776
linear; False; 0.1; 2; auto; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; auto; 0.3; 0.12178161799189813; 0.9339254469641975
rbf; False; 0.1; 2; auto; 0.3; 0.521315238572267; 0.6895023465196894
linear; True; 0.1; 2; auto; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 2; auto; 0.3; 0.35035969716621895; 0.74644155487975
rbf; True; 0.1; 2; auto; 0.3; 0.588206159114665; 0.594291135235776
linear; False; 0.1; 2; auto; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 2; auto; 0.3; 0.12178161799189813; 0.9339254469641975
rbf; False; 0.1; 2; auto; 0.3; 0.521315238572267; 0.6895023465196894
linear; True; 0.1; 2; auto; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; auto; 0.4; 0.3599895531261691; 0.7408885111752054
rbf; True; 0.1; 2; auto; 0.4; 0.5806222914336664; 0.5997385979098977
linear; False; 0.1; 2; auto; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; auto; 0.4; 0.1455081914634071; 0.9212232691583527
rbf; False; 0.1; 2; auto; 0.4; 0.523294444816834; 0.6880754357446286
linear; True; 0.1; 2; auto; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; auto; 0.4; 0.3599895531261691; 0.7408885111752054
rbf; True; 0.1; 2; auto; 0.4; 0.5806222914336664; 0.5997385979098977
linear; False; 0.1; 2; auto; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; auto; 0.4; 0.1455081914634071; 0.9212232691583527
rbf; False; 0.1; 2; auto; 0.4; 0.523294444816834; 0.6880754357446286
linear; True; 0.1; 2; auto; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; auto; 0.4; 0.3599895531261691; 0.7408885111752054
rbf; True; 0.1; 2; auto; 0.4; 0.5806222914336664; 0.5997385979098977
linear; False; 0.1; 2; auto; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; auto; 0.4; 0.1455081914634071; 0.9212232691583527
rbf; False; 0.1; 2; auto; 0.4; 0.523294444816834; 0.6880754357446286
linear; True; 0.1; 2; auto; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; auto; 0.4; 0.3599895531261691; 0.7408885111752054
rbf; True; 0.1; 2; auto; 0.4; 0.5806222914336664; 0.5997385979098977
linear; False; 0.1; 2; auto; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; auto; 0.4; 0.1455081914634071; 0.9212232691583527
rbf; False; 0.1; 2; auto; 0.4; 0.523294444816834; 0.6880754357446286
linear; True; 0.1; 2; auto; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; auto; 0.5; 0.3699527592689613; 0.7350990910811666
rbf; True; 0.1; 2; auto; 0.5; 0.565664775694853; 0.6103400299941807
linear; False; 0.1; 2; auto; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; auto; 0.5; 0.1656159143671445; 0.9103197254576797
rbf; False; 0.1; 2; auto; 0.5; 0.5140060247064433; 0.6947465360912938
linear; True; 0.1; 2; auto; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; auto; 0.5; 0.3699527592689613; 0.7350990910811666
rbf; True; 0.1; 2; auto; 0.5; 0.565664775694853; 0.6103400299941807
linear; False; 0.1; 2; auto; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; auto; 0.5; 0.1656159143671445; 0.9103197254576797
rbf; False; 0.1; 2; auto; 0.5; 0.5140060247064433; 0.6947465360912938
linear; True; 0.1; 2; auto; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; auto; 0.5; 0.3699527592689613; 0.7350990910811666
rbf; True; 0.1; 2; auto; 0.5; 0.565664775694853; 0.6103400299941807
linear; False; 0.1; 2; auto; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; auto; 0.5; 0.1656159143671445; 0.9103197254576797
rbf; False; 0.1; 2; auto; 0.5; 0.5140060247064433; 0.6947465360912938
linear; True; 0.1; 2; auto; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; auto; 0.5; 0.3699527592689613; 0.7350990910811666
rbf; True; 0.1; 2; auto; 0.5; 0.565664775694853; 0.6103400299941807
linear; False; 0.1; 2; auto; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; auto; 0.5; 0.1656159143671445; 0.9103197254576797
rbf; False; 0.1; 2; auto; 0.5; 0.5140060247064433; 0.6947465360912938
linear; True; 0.1; 2; 0.1; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; 0.1; 0.1; 0.31807550597001444; 0.7647640665856933
rbf; True; 0.1; 2; 0.1; 0.1; 0.5973148234659531; 0.5876816768961199
linear; False; 0.1; 2; 0.1; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; 0.1; 0.1; 0.08667593768685689; 0.952408794943896
rbf; False; 0.1; 2; 0.1; 0.1; 0.5304315233569061; 0.6829051915848728
linear; True; 0.1; 2; 0.1; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; 0.1; 0.1; 0.31807550597001444; 0.7647640665856933
rbf; True; 0.1; 2; 0.1; 0.1; 0.5973148234659531; 0.5876816768961199
linear; False; 0.1; 2; 0.1; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; 0.1; 0.1; 0.08667593768685689; 0.952408794943896
rbf; False; 0.1; 2; 0.1; 0.1; 0.5304315233569061; 0.6829051915848728
linear; True; 0.1; 2; 0.1; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; 0.1; 0.1; 0.31807550597001444; 0.7647640665856933
rbf; True; 0.1; 2; 0.1; 0.1; 0.5973148234659531; 0.5876816768961199
linear; False; 0.1; 2; 0.1; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; 0.1; 0.1; 0.08667593768685689; 0.952408794943896
rbf; False; 0.1; 2; 0.1; 0.1; 0.5304315233569061; 0.6829051915848728
linear; True; 0.1; 2; 0.1; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; 0.1; 0.1; 0.31807550597001444; 0.7647640665856933
rbf; True; 0.1; 2; 0.1; 0.1; 0.5973148234659531; 0.5876816768961199
linear; False; 0.1; 2; 0.1; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; 0.1; 0.1; 0.08667593768685689; 0.952408794943896
rbf; False; 0.1; 2; 0.1; 0.1; 0.5304315233569061; 0.6829051915848728
linear; True; 0.1; 2; 0.1; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; 0.1; 0.2; 0.3311917099388756; 0.7573735824128749
rbf; True; 0.1; 2; 0.1; 0.2; 0.5954559122575763; 0.5890365693249441
linear; False; 0.1; 2; 0.1; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; 0.1; 0.2; 0.09899555834909923; 0.945963573753421
rbf; False; 0.1; 2; 0.1; 0.2; 0.5330337641603998; 0.6810103107140316
