model; shuffled; n_neighbors; weights; algorithm; leaf_size; r2; rmse
KNN; False; 3; uniform; brute; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; distance; auto; 20; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 20; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; auto; 30; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 30; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; auto; 40; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 40; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; auto; 50; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 50; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 20; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 20; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 30; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 30; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 40; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 40; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 50; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 50; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 20; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 20; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 30; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 30; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 40; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 40; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 50; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 50; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; brute; 20; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 20; 0.5586892707415168; 0.662038415383576
KNN; True; 3; distance; brute; 30; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 30; 0.5586892707415168; 0.662038415383576
KNN; True; 3; distance; brute; 40; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 40; 0.5586892707415168; 0.662038415383576
KNN; True; 3; distance; brute; 50; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 50; 0.5586892707415168; 0.662038415383576
KNN; True; 5; uniform; auto; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; auto; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; auto; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; auto; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 50; 0.7034366280065143; 0.5043338106549333
