model; shuffled; max_depth; n_estimators; min_samples_split; min_samples_leaf; bootstrap; r2; rmse
RF; False; 10; 100; 10; 2; False; 0.38651310875433875; 0.7805731187491822
RF; True; 10; 100; 10; 4; True; 0.6951431354827033; 0.5113371165122609
RF; False; 10; 100; 10; 4; True; 0.6081717784576417; 0.6238192954592565
RF; True; 10; 100; 10; 4; False; 0.5738244270510029; 0.6045797624808597
RF; False; 10; 100; 10; 4; False; 0.3799412684447532; 0.7847428386654858
RF; True; 50; 100; 2; 1; True; 0.7195597725704157; 0.4904327730689341
RF; False; 50; 100; 2; 1; True; 0.6017317197344716; 0.6289249251728922
RF; True; 50; 100; 2; 1; False; 0.5651153662701449; 0.6107259307578545
RF; False; 50; 100; 2; 1; False; 0.2923280109317403; 0.8383530530830526
RF; True; 50; 100; 2; 2; True; 0.7118003758168935; 0.4971712811309957
RF; False; 50; 100; 2; 2; True; 0.6217086281993865; 0.6129487522546611
RF; True; 50; 100; 2; 2; False; 0.5398912061048668; 0.6281879417422271
RF; False; 50; 100; 2; 2; False; 0.36344172361031435; 0.7951151562604468
RF; True; 50; 100; 2; 4; True; 0.7093342749666107; 0.49929387728223085
RF; False; 50; 100; 2; 4; True; 0.610065632615822; 0.6223098919401129
RF; True; 50; 100; 2; 4; False; 0.5719469797328837; 0.60590998807756
RF; False; 50; 100; 2; 4; False; 0.36198665600637203; 0.7960233888256699
RF; True; 50; 100; 5; 1; True; 0.7108121924948572; 0.49802290602280624
RF; False; 50; 100; 5; 1; True; 0.6111420084379755; 0.6214503854778834
RF; True; 50; 100; 5; 1; False; 0.5712023732156286; 0.6064367551750302
RF; False; 50; 100; 5; 1; False; 0.3052392027971186; 0.8306701411033665
RF; True; 50; 100; 5; 2; True; 0.7054946142346299; 0.5025808650047152
RF; False; 50; 100; 5; 2; True; 0.608154580666656; 0.6238329853819695
RF; True; 50; 100; 5; 2; False; 0.558478284499009; 0.6153686439460514
RF; False; 50; 100; 5; 2; False; 0.3616391732962927; 0.7962401293651666
RF; True; 50; 100; 5; 4; True; 0.703503120722331; 0.5042772689376693
RF; False; 50; 100; 5; 4; True; 0.607463506506149; 0.6243828513750586
RF; True; 50; 100; 5; 4; False; 0.5720190833264363; 0.6058589545310485
RF; False; 50; 100; 5; 4; False; 0.3615734918709419; 0.7962810911842898
RF; True; 50; 100; 10; 1; True; 0.704155744522523; 0.5037219770125242
RF; False; 50; 100; 10; 1; True; 0.596006043361664; 0.6334296403509135
RF; True; 50; 100; 10; 1; False; 0.5884044511631024; 0.5941480328085205
RF; False; 50; 100; 10; 1; False; 0.3056084973949671; 0.8304493436922262
RF; True; 50; 100; 10; 2; True; 0.7014310335271103; 0.5060362878302684
RF; False; 50; 100; 10; 2; True; 0.6028010712452931; 0.6280800250094205
RF; True; 50; 100; 10; 2; False; 0.5737874696116813; 0.6046059761319005
RF; False; 50; 100; 10; 2; False; 0.37147288916000465; 0.7900834324359235
RF; True; 50; 100; 10; 4; True; 0.7049954039781337; 0.5030066420931905
RF; False; 50; 100; 10; 4; True; 0.6096162765104363; 0.6226683602568289
RF; True; 50; 100; 10; 4; False; 0.5794223715489444; 0.6005959685258939
RF; False; 50; 100; 10; 4; False; 0.3803388084170355; 0.7844912361563211
RF; True; None; 100; 2; 1; True; 0.7133958379956946; 0.4957932105781743
RF; False; None; 100; 2; 1; True; 0.6073375648923858; 0.6244830070024163
RF; True; None; 100; 2; 1; False; 0.5670707306741678; 0.6093513856081428
RF; False; None; 100; 2; 1; False; 0.3031921691974915; 0.8318929785330246
RF; True; None; 100; 2; 2; True; 0.7136071282272123; 0.49561042262469496
RF; False; None; 100; 2; 2; True; 0.6072728687754891; 0.624534450631824
RF; True; None; 100; 2; 2; False; 0.5400854729942732; 0.62805531115219
RF; False; None; 100; 2; 2; False; 0.3608967877902842; 0.7967029909206464
RF; True; None; 100; 2; 4; True; 0.7011614091592309; 0.5062647257127808
RF; False; None; 100; 2; 4; True; 0.6013373767149779; 0.6292362113143459
RF; True; None; 100; 2; 4; False; 0.5719659717314252; 0.6058965463206873
RF; False; None; 100; 2; 4; False; 0.3616719673649189; 0.7962196767561409
RF; True; None; 100; 5; 1; True; 0.7186747997004798; 0.4912059821011224
RF; False; None; 100; 5; 1; True; 0.5981079190712635; 0.6317797064941295
RF; True; None; 100; 5; 1; False; 0.5699363956555463; 0.6073313141083136
RF; False; None; 100; 5; 1; False; 0.31057250397258296; 0.8274756971056895
RF; True; None; 100; 5; 2; True; 0.7101499323473256; 0.4985928334237576
RF; False; None; 100; 5; 2; True; 0.596497702018516; 0.6330440826323933
