model; shuffled; hidden_layers; units; learning_rate; epochs; dropout_rate; r2; rmse
RF; True; 1; 128; 0.001; 100; 0.0; 0.5767273293443218; 0.6025171914102527
RF; False; 1; 128; 0.001; 100; 0.0; 0.5444263135463723; 0.6726517295454428
RF; True; 1; 128; 0.001; 100; 0.2; 0.5767430257184766; 0.6025060196247751
RF; False; 1; 128; 0.001; 100; 0.2; 0.5261374731248121; 0.686020557920474
RF; True; 1; 128; 0.001; 100; 0.5; 0.6266199884256558; 0.5658937028401378
RF; False; 1; 128; 0.001; 100; 0.5; 0.5446189718542613; 0.6725094851055178
RF; True; 2; 32; 0.1; 50; 0.0; 0.5098402719099036; 0.6483778082225555
RF; False; 2; 32; 0.1; 50; 0.0; 0.6044408203121456; 0.626782238582088
RF; True; 2; 32; 0.1; 50; 0.2; 0.5949390535181978; 0.5894127353925764
RF; False; 2; 32; 0.1; 50; 0.2; 0.30272988181188976; 0.8321688866452065
RF; True; 2; 32; 0.1; 50; 0.5; 0.3822433161812504; 0.7278938587933381
RF; False; 2; 32; 0.1; 50; 0.5; 0.22397045798407156; 0.8779101588739192
RF; True; 2; 32; 0.1; 100; 0.0; 0.5538523187600461; 0.618583952038453
RF; False; 2; 32; 0.1; 100; 0.0; 0.6030478943534185; 0.6278848472991758
RF; True; 2; 32; 0.1; 100; 0.2; 0.4844020630197423; 0.6649896934204731
RF; False; 2; 32; 0.1; 100; 0.2; 0.432688999279748; 0.750622450912432
RF; True; 2; 32; 0.1; 100; 0.5; 0.2022287297440405; 0.8271771423348055
RF; False; 2; 32; 0.1; 100; 0.5; 0.46079125423082135; 0.7317949551481455
RF; True; 2; 32; 0.01; 50; 0.0; 0.6035641973766777; 0.5831036546895552
RF; False; 2; 32; 0.01; 50; 0.0; 0.6202288372676439; 0.6141464410907628
RF; True; 2; 32; 0.01; 50; 0.2; 0.6220795400140395; 0.5693240512214868
RF; False; 2; 32; 0.01; 50; 0.2; 0.5773318790651258; 0.6479040488536059
RF; True; 2; 32; 0.01; 50; 0.5; 0.646425606628569; 0.5506805420898148
RF; False; 2; 32; 0.01; 50; 0.5; 0.5809122414263544; 0.645154060621592
RF; True; 2; 32; 0.01; 100; 0.0; 0.625821690610982; 0.5664983288048168
RF; False; 2; 32; 0.01; 100; 0.0; 0.6098978053280897; 0.6224437982518802
RF; True; 2; 32; 0.01; 100; 0.2; 0.6110111035216521; 0.5776009929764544
RF; False; 2; 32; 0.01; 100; 0.2; 0.543791602462855; 0.6731201399474079
RF; True; 2; 32; 0.01; 100; 0.5; 0.550983471081171; 0.6205695943726932
RF; False; 2; 32; 0.01; 100; 0.5; 0.5846355504885961; 0.6422817898182652
RF; True; 2; 32; 0.001; 50; 0.0; 0.5711251535894399; 0.6064913575194991
RF; False; 2; 32; 0.001; 50; 0.0; 0.47379738815835104; 0.7229153510944862
RF; True; 2; 32; 0.001; 50; 0.2; 0.5701870105797351; 0.6071543304362341
RF; False; 2; 32; 0.001; 50; 0.2; 0.4965609675748499; 0.7071057835048898
RF; True; 2; 32; 0.001; 50; 0.5; 0.5179864342062245; 0.6429674084305826
RF; False; 2; 32; 0.001; 50; 0.5; 0.4068207844159071; 0.7675451115916608
RF; True; 2; 32; 0.001; 100; 0.0; 0.5742962288575251; 0.6042450168608651
