model; shuffled; kernel; n_restart_optimizer; alpha; normalize_y; r2; rmse
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-10; False; 0.7669716766969323; 0.4470578075820109
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-10; False; 0.6243043440415323; 0.6108422020999551
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-05; True; 0.76735444267319; 0.44669049419675294
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-05; True; 0.6242850414149643; 0.6108578939336072
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-05; False; 0.7669827947574515; 0.4470471426229679
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-05; False; 0.6242843084859718; 0.6108584897513039
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 10; 0.01; True; 0.7718114262228855; 0.44239099252958247
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 10; 0.01; True; 0.6196427953486432; 0.6146201168865556
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 10; 0.01; False; 0.7713075445113962; 0.44287916291544355
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 10; 0.01; False; 0.6196500461623333; 0.6146142585550421
