model; shuffled; c; gamma; epsilon; r2; rmse
poly; False; 1; 0.001; 0.3; -0.0480433307351944; 1.0202358185308653
rbf; False; 1; 0.001; 0.3; 0.41423396100863763; 0.7627338870902152
linear; True; 1; 0.001; 0.5; 0.5333190185053475; 0.6326585477319281
poly; True; 1; 0.001; 0.5; -0.01757778838750612; 0.9342070451777026
rbf; True; 1; 0.001; 0.5; 0.5143795323404261; 0.6453685836035418
linear; False; 1; 0.001; 0.5; 0.4730262771465218; 0.7234448466729103
poly; False; 1; 0.001; 0.5; -0.012416559335865163; 1.0027451436907238
rbf; False; 1; 0.001; 0.5; 0.4308779852501742; 0.7518195937761136
linear; True; 10; scale; 0.1; 0.5054634397222477; 0.6512661870222075
poly; True; 10; scale; 0.1; 0.518893334429334; 0.6423622575982574
rbf; True; 10; scale; 0.1; 0.7640174193756823; 0.44988270925315593
linear; False; 10; scale; 0.1; 0.41747732472374943; 0.7606193420944788
poly; False; 10; scale; 0.1; 0.363725041028759; 0.7949381928519167
rbf; False; 10; scale; 0.1; 0.6380671062357136; 0.5995494031156883
linear; True; 10; scale; 0.3; 0.5247831038123358; 0.6384182090493482
poly; True; 10; scale; 0.3; 0.523524742792219; 0.6392629069958217
rbf; True; 10; scale; 0.3; 0.7604720749327241; 0.4532495744272414
linear; False; 10; scale; 0.3; 0.4478387179297427; 0.740532157685226
poly; False; 10; scale; 0.3; 0.31927322669021374; 0.8222376580420621
rbf; False; 10; scale; 0.3; 0.6488397081667584; 0.5905594834939936
linear; True; 10; scale; 0.5; 0.5333264663134931; 0.6326534993814791
poly; True; 10; scale; 0.5; 0.48759292482327454; 0.662928801421365
rbf; True; 10; scale; 0.5; 0.7368106525686791; 0.4751092462357672
linear; False; 10; scale; 0.5; 0.47311849252292015; 0.7233815459287509
poly; False; 10; scale; 0.5; 0.32458557911527874; 0.8190230264598479
rbf; False; 10; scale; 0.5; 0.634962898967341; 0.6021150058385873
linear; True; 10; auto; 0.1; 0.5054634397222477; 0.6512661870222075
poly; True; 10; auto; 0.1; 0.5206601179534309; 0.6411816889235792
rbf; True; 10; auto; 0.1; 0.7641053040033465; 0.4497989287975381
linear; False; 10; auto; 0.1; 0.41747732472374943; 0.7606193420944788
poly; False; 10; auto; 0.1; 0.36026922379883; 0.7970940540705173
rbf; False; 10; auto; 0.1; 0.6365894430966337; 0.6007720464025478
linear; True; 10; auto; 0.3; 0.5247831038123358; 0.6384182090493482
poly; True; 10; auto; 0.3; 0.5241962374496154; 0.6388122928599799
rbf; True; 10; auto; 0.3; 0.7606278222259812; 0.45310219312847927
linear; False; 10; auto; 0.3; 0.4478387179297427; 0.740532157685226
poly; False; 10; auto; 0.3; 0.31967725535803115; 0.821993612334824
rbf; False; 10; auto; 0.3; 0.64602302752327; 0.5929232119951932
linear; True; 10; auto; 0.5; 0.5333264663134931; 0.6326534993814791
poly; True; 10; auto; 0.5; 0.48595135857299365; 0.6639898439108666
rbf; True; 10; auto; 0.5; 0.7367610928937445; 0.4751539766773121
linear; False; 10; auto; 0.5; 0.47311849252292015; 0.7233815459287509
poly; False; 10; auto; 0.5; 0.32738665269940737; 0.8173229389268291
rbf; False; 10; auto; 0.5; 0.6334336837725572; 0.603374879302515
linear; True; 10; 0.01; 0.1; 0.5054634397222477; 0.6512661870222075
poly; True; 10; 0.01; 0.1; 0.4202430203993809; 0.7051513174875743
rbf; True; 10; 0.01; 0.1; 0.6758988400103362; 0.5272294019360444
linear; False; 10; 0.01; 0.1; 0.41747732472374943; 0.7606193420944788
poly; False; 10; 0.01; 0.1; 0.21897265000281185; 0.8807325931298016
rbf; False; 10; 0.01; 0.1; 0.5968284771464738; 0.6327845572597341
linear; True; 10; 0.01; 0.3; 0.5247831038123358; 0.6384182090493482
poly; True; 10; 0.01; 0.3; 0.43841461277910654; 0.6940123968378612
rbf; True; 10; 0.01; 0.3; 0.6765821745920988; 0.5266733036738257
linear; False; 10; 0.01; 0.3; 0.4478387179297427; 0.740532157685226
poly; False; 10; 0.01; 0.3; 0.2442003571464174; 0.8663917108630484
rbf; False; 10; 0.01; 0.3; 0.6095372994330528; 0.6227313419302248
linear; True; 10; 0.01; 0.5; 0.5333264663134931; 0.6326534993814791
poly; True; 10; 0.01; 0.5; 0.4430404782164009; 0.6911481427469415
rbf; True; 10; 0.01; 0.5; 0.6687097494840646; 0.53304473298613
linear; False; 10; 0.01; 0.5; 0.47311849252292015; 0.7233815459287509
poly; False; 10; 0.01; 0.5; 0.26078479328902104; 0.8568334123988036
rbf; False; 10; 0.01; 0.5; 0.6161618494896344; 0.6174261458381219
linear; True; 10; 0.001; 0.1; 0.5054634397222477; 0.6512661870222075
poly; True; 10; 0.001; 0.1; -0.08718131214280644; 0.9656290399533852
rbf; True; 10; 0.001; 0.1; 0.5717335593089405; 0.6060610177935069
linear; False; 10; 0.001; 0.1; 0.41747732472374943; 0.7606193420944788
poly; False; 10; 0.001; 0.1; -0.06703424071018982; 1.0294378338368748
rbf; False; 10; 0.001; 0.1; 0.46262632141225224; 0.7305486498741521
linear; True; 10; 0.001; 0.3; 0.5247831038123358; 0.6384182090493482
poly; True; 10; 0.001; 0.3; -0.05621068477495639; 0.9517756880427023
rbf; True; 10; 0.001; 0.3; 0.5733815673414452; 0.6048938049960509
linear; False; 10; 0.001; 0.3; 0.4478387179297427; 0.740532157685226
poly; False; 10; 0.001; 0.3; -0.04514493610149484; 1.0188240957441888
rbf; False; 10; 0.001; 0.3; 0.47827489056057526; 0.719833106471648
linear; True; 10; 0.001; 0.5; 0.5333264663134931; 0.6326534993814791
poly; True; 10; 0.001; 0.5; -0.011768001450281451; 0.931536333814351
rbf; True; 10; 0.001; 0.5; 0.57397866903958; 0.6044703474537002
linear; False; 10; 0.001; 0.5; 0.47311849252292015; 0.7233815459287509
poly; False; 10; 0.001; 0.5; -0.010322111372258247; 1.0017073866372843
rbf; False; 10; 0.001; 0.5; 0.5000463885211193; 0.7046538065448529
